companyrank,companyname
1,Google
2,GSK
3,Cancer Research UK
4,MI6 - Secret Intelligence Service
5,Rolls-Royce
6,Jaguar Land Rover
7,Amazon
8,Microsoft
9,BP
10,Unilever
11,MI5 - The Security Service
12,PwC
13,J.P. Morgan
14,AstraZeneca
15,Goldman Sachs
16,John Lewis Partnership
17,Deloitte
18,Civil Service Fast Stream
19,Airbus Group
20,Shell
21,Pfizer
22,KPMG
23,Teach First
24,British Airways
25,BAE Systems
26,L'Oréal
27,NHS Graduate Schemes
28,Procter & Gamble (P&G)
29,Oxfam
30,IBM
31,Samsung
32,McLaren
33,HSBC Bank plc
34,Sky
35,The Army
36,BMW Group
37,British Council
38,Apple
39,Johnson & Johnson
40,EU Careers
41,Barclays
42,EY
43,Bank of England
44,Local Government – (NGDP)
45,Allen & Overy LLP
46,adidas Group
47,Arup
48,The Royal Air Force
49,Morgan Stanley
50,Arcadia Group
51,ExxonMobil
52,EDF Energy
53,McKinsey & Company
54,Marks & Spencer
55,Clifford Chance
56,Hilton Worldwide
57,Bloomberg
58,Mercedes AMG High Performance Powertrains
59,Atkins
60,Mars
61,The Boston Consulting Group
62,Deutsche Bank
63,Mondelez International (Kraft, Cadbury etc)
64,Linklaters LLP
65,Slaughter and May
66,Bank of America Merrill Lynch
67,Dyson
68,GCHQ
69,Siemens
70,Bayer
71,The Royal Navy
72,Accenture
73,Network Rail
74,Abercrombie & Fitch
75,Facebook
76,GE General Electric
77,Freshfields Bruckhaus Deringer LLP
78,STFC (The Science and Technology Facilities Council)
79,Aldi
80,Lloyds Banking Group
81,Metropolitan Police
82,Baker & McKenzie LLP
83,Nestlé
84,Intel
85,Abbott UK
86,DLA Piper LLP
87,Bain & Company
88,Citi
89,BlackRock
90,Ubisoft
91,E.ON
92,Transport for London
93,HM Revenue & Customs
94,Schlumberger
95,Diageo
96,ARM
97,Toyota
98,Credit Suisse
99,National Grid
100,Mott MacDonald
101,Boots
102,Roche
103,Cisco
104,Norton Rose Fulbright LLP
105,AECOM
106,Merlin Entertainments
107,Volkswagen Group
108,Hogan Lovells
109,Atomic Weapons Establishment (AWE)
110,Irwin Mitchell
111,Balfour Beatty
112,American Express
113,Merck
114,BT
115,Sony
116,nucleargraduates
117,Herbert Smith Freehills LLP
118,QinetiQ
119,Bird & Bird
120,Yorkshire Water
121,Santander
122,Lloyd's
123,DSTL
124,Tesco
125,Pinsent Masons LLP
126,HP
127,UBS
128,Ford
129,Eversheds LLP
130,Bosch
131,Honda
132,Grant Thornton
133,Jacobs Engineering
134,Simmons & Simmons
135,The Royal Bank of Scotland Group
136,BASF
137,Thales
138,Danone
139,Sellafield
140,ABB
141,Total
142,Allianz
143,Co-operative Group
144,SSE PLC
145,Asda
146,ScottishPower
147,Zurich Financial Services
148,Lloyd's Register
149,Johnson Matthey
150,BAM Construct UK
151,Anglian Water Services
152,Tata Steel
153,CMS Cameron McKenna
154,Laing O'Rourke
155,BuroHappold
156,WPP
157,Sainsbury's
158,Lidl
159,Next Retail PLC
160,AMEC (now Amec Foster Wheeler)
161,PA Consulting
162,Nissan
163,npower
164,BNP Paribas
165,National Audit Office
166,UK Power Networks
167,AkzoNobel
168,Clyde & Co LLP
169,Nomura
170,Jones Day
171,British Sugar
172,Ministry of Defence
173,Anglo American
174,Petrofac
175,Shoosmiths
176,Telefónica O2
177,Babcock
178,Fidelity Worldwide Investment
179,Wood Group
180,White & Case LLP
181,Anthony Gold Solicitors
182,Caterpillar
183,Centrica (British Gas)
184,JCB
185,Financial Conduct Authority
186,Ashurst LLP
187,Macfarlanes LLP
188,Cummins
189,CH2M
190,Burges Salmon
191,Addleshaw Goddard
192,Jagex
193,Mishcon de Reya
194,Dell
195,Oracle
196,Capital One
197,BDO
198,TK Maxx
199,ConocoPhillips
200,Shearman & Sterling LLP
201,BG Group
202,Alstom
203,Taylor Wessing
204,DWF LLP
205,Nationwide
206,Reckitt Benckiser
207,EE
208,Société Générale
209,Baker Tilly
210,Aviva
211,Aon
212,MBDA
213,MACE
214,Hill Dickinson LLP
215,Travers Smith LLP
216,Kirkland and Ellis International LLP
217,Skadden, Arps, Slate, Meagher & Flom LLP
218,Brodies LLP
219,Skype (UK)
220,Essar Oil
221,Kimberly-Clar
222,AXA
223,Kier Group
224,Reed Smith
225,Skanska
226,Barratt Developments PLC
227,Ashfords LLP
228,Sir Robert McAlpine
229,Bond Dickinson LLP
230,eBay Inc.
231,Phillips 66
232,McDonald's Restaurants
233,Capgemini
234,Osborne Clarke
235,Morrisons
236,CHP Consulting
237,Mercer
238,Berwin Leighton Paisner
239,Wragge, Lawrence Graham & Co LLP
240,Dialog Semiconductor
241,Mayer Brown International LLP
242,Foster Wheeler (now Amec Foster Wheeler)
243,Mills & Reeve LLP
244,Nabarro LLP
245,Farrer & Co
246,Sullivan & Cromwell LLP
247,Weil, Gotshal & Manges
248,Air Products
249,Veolia Water
250,DHL
251,Latham & Watkins LLP
252,Enterprise Rent-A-Car
253,URS (now part of AECOM)
254,Kennedys
255,Wolfson Microelectronics
256,RPC
257,Digby Brown
258,United Utilities
259,Standard Life
260,Morgan Sindall
261,Northrop Grumman
262,Amey
263,Bechtel
264,Charles Russell LLP
265,TLT Solicitors LLP
266,Ince & Co
267,Olswang LLP
268,Ocado
269,First Group
270,Vodafone
271,King & Wood Mallesons
272,Smith & Williamson
273,Net-a-Porter
274,Imagination Technologies
275,Holman Fenwick Willan
276,Nokia
277,Yahoo! UK & Ireland
278,Dentons
279,Premier Solicitors
280,CGG
281,Kerry Group
282,DESG
283,Fieldfisher
284,SAP
285,Browne Jacobson LLP
286,Blake Lapthorn
287,Croda
288,Fujitsu
289,Bristows
290,Royal Mail Group plc
291,Stephenson Harwood
292,Morgan, Lewis & Bockius UK LLP
293,Edwards Wildman LLP
294,Withers LLP
295,Bevan Brittan LLP
296,Celesio
297,Penningtons Manches LLP
298,Carillion
299,Blackberry
300,Freeths LLP
