universityrank,universityname
1,Cambridge
2,Oxford
3,London School of Economics
4,Imperial College London
5,St Andrews
6,Durham
7,Loughborough
8,Warwick
9,Lancaster
10,University College London
11,Surrey
12,Bath
13,Exeter
14,East Anglia (UEA)
15,Birmingham
16,Leeds
17,Southampton
18,Sussex
19,Edinburgh
19,York
21,King's College London
21,Nottingham
23,Kent
24,Bristol
25,Manchester
25,Newcastle
27,Reading
28,Sheffield
29,Aston
29,Glasgow
31,"Queen Mary, University of London"
32,Leicester
33,"Queen's, Belfast"
34,Heriot-Watt
35,Cardiff
35,Dundee
37,"Royal Holloway, University of London"
38,Liverpool
39,Stirling
40,City
40,Essex
42,Aberdeen
43,"SOAS, University of London"
44,"St George's, University of London"
45,Swansea
46,Harper Adams
46,Keele
48,Strathclyde
49,Lincoln
50,Coventry
51,"Goldsmiths, University of London"
52,Brunel University London
53,Bradford
54,De Montfort
55,Buckingham
56,Bournemouth
57,Manchester Metropolitan
58,Falmouth
59,Northumbria
59,University for the Creative Arts
61,Portsmouth
62,Bangor
63,Nottingham Trent
64,Robert Gordon
65,Oxford Brookes
66,Norwich University of the Arts
67,"West of England, Bristol"
68,Hull
69,Roehampton
70,Ulster
71,Edge Hill
72,Sheffield Hallam
72,Cardiff Metropolitan
74,Liverpool John Moores
74,Winchester
76,Arts University Bournemouth
76,Bath Spa
78,Middlesex
79,Hertfordshire
80,Chichester
81,Huddersfield
82,Glasgow Caledonian
83,Liverpool Hope
84,Plymouth
85,"University of the Arts, London"
86,Abertay
87,Aberystwyth
87,Northampton
89,Gloucestershire
90,Brighton
91,Derby
92,Edinburgh Napier
93,Queen Margaret
94,Chester
95,Birmingham City
95,Salford
97,Worcester
98,Greenwich
99,Central Lancashire
99,South Wales
101,Westminster
102,Leeds Trinity
102,Royal Agricultural University
102,Sunderland
105,West London
106,York St John
107,Teesside
108,Kingston
109,Staffordshire
110,Anglia Ruskin
110,West of Scotland
112,Canterbury Christ Church
113,Buckinghamshire New
114,Leeds Beckett
115,London South Bank
115,Southampton Solent
117,Newman
118,"St Mary's, Twickenham"
119,Bishop Grosseteste
120,Bedfordshire
121,Cumbria
122,Bolton
123,University of Wales Trinity Saint David
124,St Mark and St John
125,Glyndwr
126,East London
127,London Metropolitan
